1,"execCode(dmz_host_10,root)","OR",0
2,"RULE 1 (local exploit)","AND",0
3,"vulExists(dmz_host_10,dmz_host_10_localVul_0,localApplication,localExploit,privEscalation)","LEAF",1
4,"RULE 1 (local exploit)","AND",0
5,"execCode(dmz_host_10,user)","OR",0
6,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
7,"canAccessHost(dmz_host_10)","OR",0
8,"RULE 8 (Access a host through executing code on the machine)","AND",0
9,"RULE 8 (Access a host through executing code on the machine)","AND",0
10,"hasAccount(dmz_host_10_victim,dmz_host_10,user)","LEAF",1
11,"principalCompromised(dmz_host_10_victim)","OR",0
12,"RULE 11 (password sniffing)","AND",0
13,"RULE 12 (password sniffing)","AND",0
14,"RULE 2 (remote exploit of a server program)","AND",0
15,"netAccess(dmz_host_10,httpProtocol,httpPort)","OR",0
16,"RULE 5 (multi-hop access)","AND",0
17,"hacl(dmz_host_10,dmz_host_10,httpProtocol,httpPort)","LEAF",1
18,"RULE 5 (multi-hop access)","AND",0
19,"RULE 6 (direct network access)","AND",0
20,"hacl(internet,dmz_host_10,httpProtocol,httpPort)","LEAF",1
21,"attackerLocated(internet)","LEAF",1
22,"networkServiceInfo(dmz_host_10,serverApplication,httpProtocol,httpPort,user)","LEAF",1
23,"vulExists(dmz_host_10,dmz_host_10_remoteVul_0,serverApplication,remoteExploit,privEscalation)","LEAF",1
24,"RULE 2 (remote exploit of a server program)","AND",0
25,"vulExists(dmz_host_10,dmz_host_10_remoteVul_1,serverApplication,remoteExploit,privEscalation)","LEAF",1
26,"RULE 2 (remote exploit of a server program)","AND",0
27,"vulExists(dmz_host_10,dmz_host_10_remoteVul_2,serverApplication,remoteExploit,privEscalation)","LEAF",1
28,"RULE 2 (remote exploit of a server program)","AND",0
29,"vulExists(dmz_host_10,dmz_host_10_remoteVul_3,serverApplication,remoteExploit,privEscalation)","LEAF",1
30,"execCode(fileServers_host_10,user)","OR",0
31,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
32,"canAccessHost(fileServers_host_10)","OR",0
33,"RULE 8 (Access a host through executing code on the machine)","AND",0
34,"hasAccount(fileServers_host_10_victim,fileServers_host_10,user)","LEAF",1
35,"principalCompromised(fileServers_host_10_victim)","OR",0
36,"RULE 12 (password sniffing)","AND",0
37,"RULE 2 (remote exploit of a server program)","AND",0
38,"netAccess(fileServers_host_10,httpProtocol,httpPort)","OR",0
39,"RULE 5 (multi-hop access)","AND",0
40,"hacl(fileServers_host_10,fileServers_host_10,httpProtocol,httpPort)","LEAF",1
41,"RULE 5 (multi-hop access)","AND",0
42,"hacl(fileServers_host_9,fileServers_host_10,httpProtocol,httpPort)","LEAF",1
43,"execCode(fileServers_host_9,user)","OR",0
44,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
45,"canAccessHost(fileServers_host_9)","OR",0
46,"RULE 8 (Access a host through executing code on the machine)","AND",0
47,"hasAccount(fileServers_host_9_victim,fileServers_host_9,user)","LEAF",1
48,"principalCompromised(fileServers_host_9_victim)","OR",0
49,"RULE 12 (password sniffing)","AND",0
50,"RULE 2 (remote exploit of a server program)","AND",0
51,"netAccess(fileServers_host_9,httpProtocol,httpPort)","OR",0
52,"RULE 5 (multi-hop access)","AND",0
53,"hacl(fileServers_host_10,fileServers_host_9,httpProtocol,httpPort)","LEAF",1
54,"RULE 5 (multi-hop access)","AND",0
55,"hacl(fileServers_host_9,fileServers_host_9,httpProtocol,httpPort)","LEAF",1
56,"networkServiceInfo(fileServers_host_9,serverApplication,httpProtocol,httpPort,user)","LEAF",1
57,"vulExists(fileServers_host_9,fileServers_host_9_remoteVul_0,serverApplication,remoteExploit,privEscalation)","LEAF",1
58,"RULE 2 (remote exploit of a server program)","AND",0
59,"vulExists(fileServers_host_9,fileServers_host_9_remoteVul_1,serverApplication,remoteExploit,privEscalation)","LEAF",1
60,"RULE 5 (multi-hop access)","AND",0
61,"hacl(workStation_host_10,fileServers_host_10,httpProtocol,httpPort)","LEAF",1
62,"execCode(workStation_host_10,root)","OR",0
63,"RULE 1 (local exploit)","AND",0
64,"vulExists(workStation_host_10,workStation_host_10_localVul_0,localApplication,localExploit,privEscalation)","LEAF",1
65,"RULE 1 (local exploit)","AND",0
66,"execCode(workStation_host_10,user)","OR",0
67,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
68,"canAccessHost(workStation_host_10)","OR",0
69,"RULE 8 (Access a host through executing code on the machine)","AND",0
70,"RULE 8 (Access a host through executing code on the machine)","AND",0
71,"hasAccount(workStation_host_10_victim,workStation_host_10,user)","LEAF",1
72,"principalCompromised(workStation_host_10_victim)","OR",0
73,"RULE 11 (password sniffing)","AND",0
74,"RULE 12 (password sniffing)","AND",0
75,"RULE 2 (remote exploit of a server program)","AND",0
76,"netAccess(workStation_host_10,httpProtocol,httpPort)","OR",0
77,"RULE 5 (multi-hop access)","AND",0
78,"hacl(fileServers_host_10,workStation_host_10,httpProtocol,httpPort)","LEAF",1
79,"RULE 5 (multi-hop access)","AND",0
80,"hacl(workStation_host_10,workStation_host_10,httpProtocol,httpPort)","LEAF",1
81,"RULE 5 (multi-hop access)","AND",0
82,"networkServiceInfo(workStation_host_10,serverApplication,httpProtocol,httpPort,user)","LEAF",1
83,"vulExists(workStation_host_10,workStation_host_10_remoteVul_0,serverApplication,remoteExploit,privEscalation)","LEAF",1
84,"RULE 2 (remote exploit of a server program)","AND",0
85,"vulExists(workStation_host_10,workStation_host_10_remoteVul_1,serverApplication,remoteExploit,privEscalation)","LEAF",1
86,"RULE 1 (local exploit)","AND",0
87,"vulExists(workStation_host_10,workStation_host_10_localVul_1,localApplication,localExploit,privEscalation)","LEAF",1
88,"RULE 1 (local exploit)","AND",0
89,"RULE 5 (multi-hop access)","AND",0
90,"RULE 6 (direct network access)","AND",0
91,"hacl(internet,fileServers_host_10,httpProtocol,httpPort)","LEAF",1
92,"networkServiceInfo(fileServers_host_10,serverApplication,httpProtocol,httpPort,user)","LEAF",1
93,"vulExists(fileServers_host_10,fileServers_host_10_remoteVul_0,serverApplication,remoteExploit,privEscalation)","LEAF",1
94,"RULE 2 (remote exploit of a server program)","AND",0
95,"vulExists(fileServers_host_10,fileServers_host_10_remoteVul_1,serverApplication,remoteExploit,privEscalation)","LEAF",1
96,"RULE 2 (remote exploit of a server program)","AND",0
97,"vulExists(fileServers_host_10,fileServers_host_10_remoteVul_2,serverApplication,remoteExploit,privEscalation)","LEAF",1
