1,"stolenCredential(brandon_stark,north_sevenkingdoms_local)","OR",0
2,"RULE 25 (Use of Hashcat for password crack)","AND",0.8
3,"weakPassword(brandon_stark)","LEAF",1
4,"stolenHash(brandon_stark,north_sevenkingdoms_local)","OR",0
5,"RULE 24 (asreproasting part2)","AND",0.8
6,"userFound(brandon_stark,north_sevenkingdoms_local)","OR",0
7,"RULE 21 (User enumeration anonymously part2)","AND",0.6
8,"cvss('Enumerate DC properties anonymously',m)","LEAF",1
9,"vulnExists(winterfell,'Enumerate DC properties anonymously',north_sevenkingdoms_local,remoteExploit,accountEnumeration)","OR",0
10,"RULE 16 (Vuln declared)","AND",1
11,"vulProperty('Enumerate DC properties anonymously',remoteExploit,accountEnumeration)","LEAF",1
12,"vulExists(winterfell,'Enumerate DC properties anonymously',north_sevenkingdoms_local)","LEAF",1
13,"netAccess(winterfell)","OR",0
14,"RULE 5 (direct network access)","AND",1
15,"hacl(intranet,winterfell,_,_)","LEAF",1
16,"attackerLocated(intranet)","LEAF",1
17,"userDefined(brandon_stark,north_sevenkingdoms_local,user)","LEAF",1
18,"RULE 22 (Username found by brutforce)","AND",0.2
19,"netAccess(north_sevenkingdoms_local)","OR",0
20,"RULE 5 (direct network access)","AND",1
21,"hacl(intranet,north_sevenkingdoms_local,_,_)","LEAF",1
22,"RULE 26 (Username found after authentification)","AND",1
23,"RULE 26 (Username found after authentification)","AND",1
24,"stolenCredential(hodor,north_sevenkingdoms_local)","OR",0
25,"RULE 23 (password is user or in user description)","AND",0.8
26,"inCompetent(hodor)","LEAF",1
27,"userFound(hodor,north_sevenkingdoms_local)","OR",0
28,"RULE 21 (User enumeration anonymously part2)","AND",0.6
29,"userDefined(hodor,north_sevenkingdoms_local,user)","LEAF",1
30,"RULE 22 (Username found by brutforce)","AND",0.2
31,"RULE 26 (Username found after authentification)","AND",1
32,"RULE 26 (Username found after authentification)","AND",1
33,"RULE 26 (Username found after authentification)","AND",1
34,"stolenCredential(jon_snow,north_sevenkingdoms_local)","OR",0
35,"RULE 25 (Use of Hashcat for password crack)","AND",0.8
36,"weakPassword(jon_snow)","LEAF",1
37,"stolenHash(jon_snow,north_sevenkingdoms_local)","OR",0
38,"RULE 27 (Kerberoasting part3)","AND",0.8
39,"accessibleHash(jon_snow,north_sevenkingdoms_local,kerberoasting)","LEAF",1
40,"RULE 27 (Kerberoasting part3)","AND",0.8
41,"RULE 27 (Kerberoasting part3)","AND",0.8
42,"RULE 27 (Kerberoasting part3)","AND",0.8
43,"stolenCredential(robb_stark,north_sevenkingdoms_local)","OR",0
44,"RULE 29 (weak password crack)","AND",0.8
45,"hashFoundNTLM(robb_stark)","OR",0
46,"RULE 31 (NTLM hash found)","AND",0.8
47,"isRuning(ntlmBot,winterfell)","LEAF",1
48,"userPartOf(robb_stark,runNTLMBot,user)","LEAF",1
49,"weakPassword(robb_stark)","LEAF",1
50,"userFound(robb_stark,north_sevenkingdoms_local)","OR",0
51,"RULE 21 (User enumeration anonymously part2)","AND",0.6
52,"userDefined(robb_stark,north_sevenkingdoms_local,user)","LEAF",1
53,"RULE 22 (Username found by brutforce)","AND",0.2
54,"RULE 26 (Username found after authentification)","AND",1
55,"RULE 26 (Username found after authentification)","AND",1
56,"RULE 26 (Username found after authentification)","AND",1
57,"RULE 26 (Username found after authentification)","AND",1
58,"RULE 26 (Username found after authentification)","AND",1
59,"stolenCredential(samwell_tarly,north_sevenkingdoms_local)","OR",0
60,"RULE 23 (password is user or in user description)","AND",0.8
61,"inCompetent(samwell_tarly)","LEAF",1
62,"userFound(samwell_tarly,north_sevenkingdoms_local)","OR",0
63,"RULE 21 (User enumeration anonymously part2)","AND",0.6
64,"userDefined(samwell_tarly,north_sevenkingdoms_local,user)","LEAF",1
65,"RULE 22 (Username found by brutforce)","AND",0.2
66,"RULE 26 (Username found after authentification)","AND",1
67,"RULE 26 (Username found after authentification)","AND",1
68,"RULE 26 (Username found after authentification)","AND",1
69,"RULE 26 (Username found after authentification)","AND",1
70,"RULE 26 (Username found after authentification)","AND",1
71,"RULE 32 (Use of DonPAPI)","AND",0.8
72,"netAccess(castelblack)","OR",0
73,"RULE 5 (direct network access)","AND",1
74,"hacl(intranet,castelblack,_,_)","LEAF",1
75,"credentialInClear(robb_stark,castelblack,north_sevenkingdoms_local)","LEAF",1
76,"RULE 27 (Kerberoasting part3)","AND",0.8
77,"RULE 26 (Username found after authentification)","AND",1
78,"RULE 26 (Username found after authentification)","AND",1
79,"RULE 26 (Username found after authentification)","AND",1
80,"RULE 26 (Username found after authentification)","AND",1
81,"RULE 26 (Username found after authentification)","AND",1
82,"accessibleHash(brandon_stark,north_sevenkingdoms_local,asreproasting)","LEAF",1
