1,"corrupted(dc)","OR",0
2,"RULE 13 (privilege escalation)","AND",0.9
3,"vulExists(dc,dc,exploit_tgt,exploit_tgt)","LEAF",1
4,"tgt(dc)","OR",0
5,"RULE 12 (privilege escalation)","AND",0.9
6,"vulExists(host2,dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
7,"corrupted(host2)","OR",0
8,"RULE 5 (pass the hash)","AND",0.9
9,"vulExists(host2,host2,default_admin_pth,default_admin_pth)","LEAF",1
10,"stolenHashNTLM(admin)","OR",0
11,"RULE 4 (get ntlm hash)","AND",0.9
12,"vulExists(host1,admin,ntlm_hash,ntlm_hash)","LEAF",1
13,"corrupted(host1)","OR",0
14,"RULE 3 (relay ntlm or coerce it)","AND",0.8
15,"vulExists(host1,host1,relay_ntlm_bot,relay_ntlm_bot)","LEAF",1
16,"host(host1)","LEAF",1
17,"attackerLocated(domain)","LEAF",1
18,"RULE 9 (pass the ticket)","AND",0.9
19,"vulExists(host2,_,ptt,ptt)","LEAF",1
20,"tgs(host2)","OR",0
21,"RULE 8 (find a ticket)","AND",0.8
22,"vulExists(host1,host2,tgs,tgs)","LEAF",1
23,"corrupted(fake_dc)","OR",0
24,"RULE 13 (privilege escalation)","AND",0.9
25,"vulExists(fake_dc,fake_dc,exploit_tgt,exploit_tgt)","LEAF",1
26,"tgt(fake_dc)","OR",0
27,"RULE 12 (privilege escalation)","AND",0.9
28,"vulExists(fake_host,fake_dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
29,"corrupted(fake_host)","OR",0
30,"RULE 9 (pass the ticket)","AND",0.9
31,"vulExists(fake_host,_,ptt,ptt)","LEAF",1
32,"tgs(fake_host)","OR",0
33,"RULE 8 (find a ticket)","AND",0.8
34,"vulExists(host1,fake_host,tgs,tgs)","LEAF",1
35,"RULE 12 (privilege escalation)","AND",0.9
36,"vulExists(host2,fake_dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
