1,"corrupted(dc)","OR",0
2,"RULE 13 (privilege escalation)","AND",0.6
3,"tgt(dc)","OR",0
4,"RULE 12 (privilege escalation)","AND",0.8
5,"vulExists(host2,dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
6,"vulExists(host2,host2,non_constraint_delegation,non_constraint_delegation)","LEAF",1
7,"corrupted(host2)","OR",0
8,"RULE 5 (pass the hash)","AND",0.8
9,"vulExists(host2,host2,cve,default_admin)","LEAF",1
10,"stolenHashNTLM(admin)","OR",0
11,"RULE 4 (get ntlm hash)","AND",0.8
12,"vulExists(admin,admin,ntlm_hash,ntlm_hash)","LEAF",1
13,"stolenCredPriv(user)","OR",0
14,"RULE 0 (logic rule)","AND",1
15,"stolenCred(domadmin)","OR",0
16,"RULE 14 (secretdump or donpapi)","AND",0.8
17,"vulExists(dc,domadmin,cve,credential_dump)","LEAF",1
18,"RULE 0 (logic rule)","AND",1
19,"stolenCred(user1)","OR",0
20,"RULE 1 (vulnerability exploit or default password)","AND",0.8
21,"vulExists(user1,user1,bad_password,bad_password)","LEAF",1
22,"attackerLocated(domain)","LEAF",1
23,"RULE 0 (logic rule)","AND",1
24,"stolenCred(user3)","OR",0
25,"RULE 11 (credential on a network share)","AND",0.6
26,"vulExists(file,user3,clear_password,clear_password)","LEAF",1
27,"accessData(file)","OR",0
28,"RULE 10 (network share)","AND",0.8
29,"vulExists(file,user,shares,shares)","LEAF",1
30,"RULE 0 (logic rule)","AND",1
31,"stolenCred(userSrv)","OR",0
32,"RULE 7 (cracking a medium hash)","AND",0.6
33,"vulExists(userSrv,userSrv,cracking,cracking)","LEAF",1
34,"stolenHashKRB(userSrv)","OR",0
35,"RULE 6 (kerberoasting attack)","AND",0.6
36,"vulExists(userSrv,userSrv,kerberoasting,kerberoasting)","LEAF",1
37,"RULE 9 (pass the ticket)","AND",0.8
38,"vulExists(host2,_,ptt,ptt)","LEAF",1
39,"tgs(host2)","OR",0
40,"RULE 8 (find a ticket)","AND",0.4
41,"vulExists(host1,host2,tgs,tgs)","LEAF",1
42,"corrupted(host1)","OR",0
43,"RULE 2 (zero day on machine)","AND",0.8
44,"vulExists(host1,host1,zero_day,zero_day)","LEAF",1
45,"host(host1)","LEAF",1
46,"RULE 3 (relai ntlm or coerce it)","AND",0.8
47,"vulExists(host1,host1,ntlm_bot,ntlm_bot)","LEAF",1
48,"RULE 15 (certificat abuse)","AND",0.6
49,"vulExists(dc,dc,cve,esc)","LEAF",1
50,"corrupted(fake_dc)","OR",0
51,"RULE 13 (privilege escalation)","AND",0.6
52,"tgt(fake_dc)","OR",0
53,"RULE 12 (privilege escalation)","AND",0.8
54,"vulExists(fake_host,fake_dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
55,"vulExists(fake_host,fake_host,non_constraint_delegation,non_constraint_delegation)","LEAF",1
56,"corrupted(fake_host)","OR",0
57,"RULE 18 (pass the ticket redirected)","AND",0.8
58,"vulExists(host2,fake_host,ptt,ptt)","LEAF",1
59,"host(host2)","LEAF",1
60,"RULE 5 (pass the hash)","AND",0.8
61,"vulExists(fake_host,fake_host,cve,default_admin)","LEAF",1
62,"RULE 9 (pass the ticket)","AND",0.8
63,"vulExists(fake_host,_,ptt,ptt)","LEAF",1
64,"tgs(fake_host)","OR",0
65,"RULE 8 (find a ticket)","AND",0.4
66,"vulExists(host1,fake_host,tgs,tgs)","LEAF",1
67,"RULE 12 (privilege escalation)","AND",0.8
68,"vulExists(host2,fake_dc,asks_kerberos_ticket,asks_kerberos_ticket)","LEAF",1
69,"RULE 19 (redirected privilege escalation)","AND",0.6
70,"RULE 19 (redirected privilege escalation)","AND",0.6
71,"stolenCred(newAdmin,dc)","OR",0
72,"RULE 16 (persistence throug new account)","AND",0.4
73,"vulExists(dc,dc,cve,newAdmin)","LEAF",1
