1,"admin(domain)","OR",0
2,"RULE 10 (permissions move)","AND",0.8
3,"validCredentials(domain)","OR",0
4,"RULE 6 (valid credentials may be found)","AND",0.8
5,"attackerLocated(domain)","LEAF",1
6,"dcSync(domain)","OR",0
7,"RULE 2 (dc sync attack is possible)","AND",0.2
8,"vulExists(domain,'CVE-2020-1472',dcSync)","LEAF",1
9,"mitm(domain)","OR",0
10,"RULE 0 (mitm attack is possible)","AND",0.2
11,"vulExists(domain,'CVE-2022-26925',smb)","LEAF",1
12,"RULE 7 (domain admin access is possible)","AND",0.2
13,"vulExists(domain,'CVE-2021-42278',cred_to_domadmin)","LEAF",1
14,"RULE 7 (domain admin access is possible)","AND",0.2
15,"vulExists(domain,'CVE-2021-42287',cred_to_domadmin)","LEAF",1
16,"RULE 7 (domain admin access is possible)","AND",0.2
17,"vulExists(domain,'CVE-2022-26923',cred_to_domadmin)","LEAF",1
18,"admin(host)","OR",0
19,"RULE 4 (classic quick compromission attack is possible against host or domain)","AND",0.2
20,"vulExists(host,'CVE-2008-4037',host_to_admin)","LEAF",1
21,"vulnerableHost(host)","OR",0
22,"RULE 3 (host may be vulnerable)","AND",0.2
23,"RULE 4 (classic quick compromission attack is possible against host or domain)","AND",0.2
24,"vulExists(host,'CVE-2017-0147',host_to_admin)","LEAF",1
25,"RULE 4 (classic quick compromission attack is possible against host or domain)","AND",0.2
26,"vulExists(host,'CVE-2020-1472',host_to_admin)","LEAF",1
27,"RULE 8 (admin access is possible)","AND",0.2
28,"vulExists(host,'CVE-2021-34527',cred_to_admin)","LEAF",1
29,"hostDom(host,domain)","LEAF",1
30,"RULE 9 (privilege escalation)","AND",0.2
31,"vulExists(host,'CVE-2020-0796',low_to_admin)","LEAF",1
32,"lowAccess(host)","OR",0
33,"RULE 5 (low access is possible)","AND",0.8
